Year,Department,Number of Sections,Enrollments,Mean Points
2018,THEA,33,508,11.810344827586206
2019,THEA,27,420,11.979166666666666
2020,THEA,6,79,11.916666666666666
2011,TUCK,6,292,10.333333333333334
2012,TUCK,6,458,10.666666666666666
2013,TUCK,6,626,10.333333333333334
2014,TUCK,6,740,10.666666666666666
2015,TUCK,6,714,10.666666666666666
2016,TUCK,6,710,10.666666666666666
2017,TUCK,6,722,10.666666666666666
2018,TUCK,6,720,10.666666666666666
2019,TUCK,6,618,11.0
2020,TUCK,2,162,12.0
2015,WGSS,16,322,11.211538461538462
2016,WGSS,37,775,11.287878787878787
2017,WGSS,40,831,11.10135135135135
2018,WGSS,39,833,11.61111111111111
2019,WGSS,48,928,11.494444444444444
2020,WGSS,9,182,11.444444444444445
2011,WGST,29,712,11.067307692307692
2012,WGST,38,777,11.147058823529411
2013,WGST,39,809,11.413978494623658
2014,WGST,37,739,11.234375
2015,WGST,25,493,11.28
2011,WPS,1,28,10.0
2012,WPS,1,21,10.0
2013,WPS,1,31,10.0
2014,WPS,1,31,10.0
2011,WRIT,64,1066,10.985544217687075
2012,WRIT,71,1124,11.177061973114604
2013,WRIT,80,1235,11.302026677026678
2014,WRIT,83,1273,11.105587121212121
2015,WRIT,85,1308,11.330769230769231
2016,WRIT,86,1360,11.005447521055142
2017,WRIT,81,1242,11.511989379084966
2018,WRIT,90,1405,11.526481481481483
2019,WRIT,87,1362,11.553682428682427
2020,WRIT,42,644,11.825066137566138
