Year,Term,Department,Course Number,Number of Sections,Enrollments,Mean Points
2018,18S,AAAS,88.08,1,35,12.0
2015,15S,AAAS,88.1,1,12,11.5
2016,16S,AAAS,88.11,1,13,11.0
2016,16S,AAAS,88.13,1,10,11.5
2017,17F,AAAS,88.14,1,16,11.0
2017,17X,AAAS,88.15,1,16,11.5
2019,19S,AAAS,88.15,1,17,12.0
2018,18X,AAAS,88.16,1,17,11.0
2019,19F,AAAS,88.16,1,14,12.0
2017,17F,AAAS,88.17,1,18,11.5
2018,18X,AAAS,88.17,1,14,12.0
2019,19X,AAAS,88.17,1,17,12.0
2018,18S,AAAS,88.2,1,18,11.5
2018,18F,AAAS,88.21,1,14,11.5
2017,17W,AAAS,90.01,1,14,11.0
2019,19S,AAAS,90.01,1,14,10.5
2016,16W,AAAS,90.02,1,10,10.0
2015,15W,AAAS,91.01,1,12,12.0
2011,11W,AMEL,7.0,1,16,11.0
2012,12W,AMEL,7.0,1,16,12.0
2013,13S,AMEL,7.0,1,16,11.0
2014,14W,AMEL,7.0,1,16,11.0
2016,16F,AMEL,17.0,1,16,11.0
2018,18S,AMEL,17.0,1,10,11.5
2015,15W,AMEL,7.01,1,16,11.0
2017,17W,AMEL,7.01,1,15,11.0
2018,18W,AMEL,7.05,1,14,11.0
2011,11W,AMES,4.0,1,47,11.0
2012,12W,AMES,4.0,1,42,11.0
2013,13W,AMES,4.0,1,27,11.0
2014,14S,AMES,4.0,1,38,11.0
2015,15W,AMES,4.0,1,49,11.0
2016,16S,AMES,4.0,1,53,11.0
2017,17S,AMES,4.0,1,35,11.0
2018,18W,AMES,4.0,1,23,11.0
2011,11F,AMES,6.0,1,15,10.0
2011,11S,AMES,7.0,1,16,10.0
2013,13X,AMES,8.0,1,36,10.0
2014,14X,AMES,8.0,1,32,11.0
2015,15F,AMES,8.0,1,28,11.0
2016,16X,AMES,8.0,1,56,10.0
2017,17F,AMES,8.0,1,26,10.0
2011,11W,AMES,9.0,1,42,10.0
2014,14S,AMES,9.0,1,43,11.0
2017,17W,AMES,9.0,1,57,11.0
2018,18W,AMES,9.0,1,38,11.0
2012,12W,AMES,10.0,1,51,10.0
2013,13W,AMES,10.0,1,52,10.0
2014,14W,AMES,10.0,1,52,10.0
2016,16S,AMES,10.0,1,19,11.0
2016,16F,AMES,10.0,1,57,9.0
2018,18W,AMES,10.0,1,16,9.5
2011,11S,AMES,11.0,1,23,12.0
2011,11F,AMES,11.0,1,27,11.0
2012,12F,AMES,11.0,1,28,11.0
2013,13F,AMES,11.0,1,33,11.0
2015,15W,AMES,11.0,1,28,11.0
2016,16W,AMES,11.0,1,40,11.0
2017,17W,AMES,11.0,1,32,11.0
2017,17F,AMES,11.0,1,29,11.0
2011,11W,AMES,12.0,1,49,12.0
2012,12S,AMES,12.0,1,85,11.0
2013,13W,AMES,12.0,1,48,11.0
2014,14S,AMES,12.0,1,38,11.0
2015,15W,AMES,12.0,1,47,12.0
2016,16S,AMES,12.0,1,99,12.0
2017,17S,AMES,12.0,1,47,12.0
2018,18S,AMES,12.0,1,57,12.0
2011,11S,AMES,13.0,1,47,11.0
2012,12S,AMES,13.0,1,57,11.0
2014,14S,AMES,13.0,1,59,10.0
2015,15S,AMES,13.0,1,59,10.0
2016,16S,AMES,13.0,1,46,11.0
2017,17S,AMES,13.0,1,49,12.0
2018,18S,AMES,13.0,1,50,11.0
2012,12X,AMES,15.0,1,51,10.0
2014,14S,AMES,15.0,1,13,11.0
2015,15S,AMES,15.0,1,40,10.0
2017,17S,AMES,15.0,1,33,11.0
2018,18S,AMES,17.0,1,22,11.0
2011,11S,AMES,18.0,1,32,12.0
2012,12S,AMES,18.0,1,21,12.0
2013,13S,AMES,18.0,1,19,12.0
2014,14S,AMES,18.0,1,25,12.0
2015,15S,AMES,18.0,1,27,12.0
2016,16S,AMES,18.0,1,30,12.0
2011,11S,AMES,19.0,1,13,11.0
2013,13S,AMES,21.0,1,34,11.0
2014,14W,AMES,21.0,3,40,11.0
2011,11S,AMES,24.0,1,10,12.0
2012,12S,AMES,24.0,1,16,12.0
2013,13S,AMES,24.0,1,14,12.0
2014,14S,AMES,24.0,1,21,12.0
2015,15S,AMES,24.0,1,21,12.0
2016,16S,AMES,24.0,1,25,12.0
2017,17S,AMES,24.0,1,31,12.0
2011,11W,AMES,25.0,1,16,12.0
2012,12W,AMES,25.0,1,23,12.0
2013,13S,AMES,25.0,1,14,11.0
2014,14W,AMES,25.0,1,17,12.0
2015,15S,AMES,25.0,1,17,12.0
2013,13S,AMES,26.0,1,12,11.0
2014,14F,AMES,26.0,1,21,11.0
2016,16W,AMES,26.0,1,24,10.0
2017,17W,AMES,26.0,1,31,10.0
2018,18S,AMES,26.0,1,18,11.5
2011,11W,AMES,27.0,1,14,12.0
2015,15W,AMES,27.0,1,13,11.0
2017,17W,AMES,27.0,1,20,11.0
2011,11W,AMES,28.0,1,14,12.0
2015,15W,AMES,28.0,1,13,11.0
2017,17W,AMES,28.0,1,20,12.0
2011,11W,AMES,29.0,1,14,12.0
2015,15W,AMES,29.0,1,13,10.0
2017,17W,AMES,29.0,1,20,12.0
2011,11W,AMES,30.0,1,36,11.5
2012,12W,AMES,30.0,1,25,11.0
2012,12S,AMES,30.0,1,29,12.0
2013,13W,AMES,30.0,1,27,11.0
2013,13F,AMES,30.0,1,30,11.0
2015,15F,AMES,30.0,1,35,12.0
2016,16F,AMES,30.0,1,37,11.0
2017,17W,AMES,30.0,1,36,11.0
2018,18W,AMES,30.0,1,29,11.0
2018,18S,AMES,30.0,1,28,12.0
2011,11S,AMES,33.0,1,11,11.0
2012,12S,AMES,33.0,1,10,11.0
2012,12W,AMES,35.0,1,13,11.0
2012,12W,AMES,39.0,1,35,11.0
2011,11W,AMES,40.0,1,29,11.0
2011,11F,AMES,40.0,1,13,12.0
2012,12X,AMES,40.0,1,56,11.0
2013,13F,AMES,40.0,2,49,11.5
2013,13S,AMES,41.0,1,23,12.0
2014,14W,AMES,41.0,1,54,12.0
2012,12S,AMES,42.0,1,11,11.0
2012,12X,AMES,42.0,1,26,11.0
2012,12S,AMES,43.0,1,16,12.0
2013,13W,AMES,43.0,1,19,11.0
2013,13S,AMES,43.0,1,10,11.0
